"","Año","Nombre.Política","Nombre.Programa","Presupuesto.Gasto"
"2",2007,"Comercio, turismo y PYMES","Promoción comercial e internacionalización de la empresa",321142740
"3",2007,"Comercio, turismo y PYMES","Apoyo a la pequeña y mediana empresa",94397550
"4",2007,"Comercio, turismo y PYMES","Coordinación y promoción del turismo",201098530
"5",2007,"Comercio, turismo y PYMES","Dirección y Servicios Generales de Comercio y Turismo",29374840
"6",2007,"Comercio, turismo y PYMES","Ordenación del comercio exterior",13590470
"7",2007,"Comercio, turismo y PYMES","Ordenación y modernización de las estructuras comerciales",16949030
"9",2007,"Fomento del empleo","Fomento de la inserción y estabilidad laboral",7265561180
"10",2007,"Fomento del empleo","Desarrollo del trabajo autónomo, de la economía social y de la responsabilidad social de las empresas",20996210
"12",2007,"Desempleo","Prestaciones a los desempleados",14470155790
"14",2007,"Acceso a la vivienda y fomento de la edificación","Urbanismo y política del suelo",1698030
"15",2007,"Acceso a la vivienda y fomento de la edificación","Ordenación y fomento de la edificación",77894680
"16",2007,"Acceso a la vivienda y fomento de la edificación","Promoción, administración y ayudas para rehabilitación y acceso a vivienda",1149245830
"17",2007,"Acceso a la vivienda y fomento de la edificación","Dirección y Servicios Generales de Vivienda",18699390
"19",2007,"Pensiones","Pensiones contributivas de la Seguridad Social",80263146850
"20",2007,"Pensiones","Pensiones de Clases Pasivas",8225550980
"21",2007,"Pensiones","Otras pensiones y prestaciones de Clases Pasivas",60785500
"22",2007,"Pensiones","Gestión de las prestaciones económicas de Seguridad Social",423635060
"23",2007,"Pensiones","Gestión de pensiones de Clases Pasivas",8342690
"24",2007,"Pensiones","Pensiones no contributivas y prestaciones asistenciales",2033395900
"25",2007,"Pensiones","Pensiones de guerra",440686520
"27",2007,"Otras prestaciones económicas","Prestaciones económicas del Mutualismo Administrativo",522153170
"28",2007,"Otras prestaciones económicas","Prestaciones de garantía salarial",530399850
