"","Año","Nombre.Artículo","Nombre.Concepto","Presupuesto.Ingresos"
"2",2007,"Variación del fondo de maniobra","Variación del fondo de maniobra",175448900
"4",2007,"Tasas","Tasas seguridad aeroportuaria",5.2e+07
"5",2007,"Tasas","Otras tasas",403562480
"6",2007,"Tasas","Derechos por expedición de tarjetas de identidad profesional a trabajadores extranjeros",5.5e+07
"7",2007,"Tasas","Canon de ocupación y aprovechamiento del dominio público marítimo-terrestre",2.3e+07
"8",2007,"Tasas","Tasa por dirección e inspección de obras",164998750
"9",2007,"Tasas","Tasa por el ejercicio de la potestad jurisdiccional en los órdenes civil, contencioso-administrativo y social",5.2e+07
"10",2007,"Tasas","Tasas de expedición de D.N.I. y pasaportes",7.1e+07
"11",2007,"Tasas","Tasas consulares",4.1e+07
"12",2007,"Tasas","Canon por utilización de aguas continentales para la producción de energía eléctrica",5.17e+08
"13",2007,"Tasas","Tasa por reserva del dominio radioeléctrico",2.7e+08
"15",2007,"Dividendos y participaciones en beneficios","De empresas privadas",611820
"16",2007,"Dividendos y participaciones en beneficios","De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal",1303129730
"18",2007,"Cotizaciones de asociados","Cotizaciones de asociados",907000
"20",2007,"Otros ingresos patrimoniales","Otros",1964840
"21",2007,"Otros ingresos patrimoniales","Otros",249180
"23",2007,"De terrenos","Venta de fincas rústicas",1e+06
"24",2007,"De terrenos","Venta de solares",1.88e+08
"26",2007,"De las demás inversiones reales","Venta de otras inversiones reales",271681750
"27",2007,"De las demás inversiones reales","Enajenación de bienes destinados a uso general",6990
"29",2007,"Reintegros por operaciones de capital","Del presupuesto corriente",1e+06
"30",2007,"Reintegros por operaciones de capital","De ejercicios cerrados",91130600
"32",2007,"Reintegros de préstamos concedidos fuera del Sector Público","Reintegros de préstamos concedidos fuera del Sector Público a corto plazo",15706270
"33",2007,"Reintegros de préstamos concedidos fuera del Sector Público","Reintegros de préstamos concedidos fuera del Sector Público a largo plazo",620607500
"35",2007,"Enajenación de deuda del Sector Público","Enajenación de deuda del Sector Público a largo plazo",475593020
"36",2007,"Enajenación de deuda del Sector Público","Enajenación de deuda del Sector Público a corto plazo",7312970
"38",2007,"Enajenación de obligaciones y bonos de fuera del Sector Público","Enajenación de obligaciones y bonos de fuera del Sector Público a corto plazo",305300
"39",2007,"Enajenación de obligaciones y bonos de fuera del Sector Público","Enajenación de obligaciones y bonos de fuera del Sector Público a largo plazo",1116690
"41",2007,"Enajenación de acciones y part. de fuera del Sector Público","De empresas nacionales o de la Unión Europea",256380
"43",2007,"Remanente de tesorería","Remanente para la cobertura de prestaciones sociales de Accidentes de Trabajo",6699720
"44",2007,"Remanente de tesorería","Remanente de tesorería",2610656920
"46",2007,"Devolución de depósitos y fianzas","Devolución de fianzas",6743420
"47",2007,"Devolución de depósitos y fianzas","Devolución de depósitos",2496070
"49",2007,"Sobre el Valor Añadido","Impuesto sobre el Valor Añadido",3.6538e+10
"51",2007,"Sobre consumos específicos","Impuestos especiales",1.0961e+10
"53",2007,"Sobre tráfico exterior","Derechos de aduana y exacciones de efecto equivalente establecidos para la importación o exportación de mercancías",1.632e+09
"54",2007,"Sobre tráfico exterior","Exacciones reguladoras y otros gravámenes agrícolas",6.8e+07
"56",2007,"De Entidades Locales (cap. 4)","De Diputaciones y Cabildos Insulares (cap. 4)",509330
"57",2007,"De Entidades Locales (cap. 4)","De Ayuntamientos (cap. 4)",207970
"59",2007,"De empresas privadas (cap. 4)","De empresas privadas (cap. 4)",350000
"60",2007,"De empresas privadas (cap. 4)","Otras transferencias corrientes. (cap. 4)",1125510
"61",2007,"De empresas privadas (cap. 4)","Aportaciones de empresas colaboradoras para el sostenimiento de los servicios comunes (cap. 4)",48940000
"62",2007,"De empresas privadas (cap. 4)","Otras transferencias corrientes (cap. 4)",60000
"63",2007,"De empresas privadas (cap. 4)","De empresas privadas (cap. 4)",1e+06
"64",2007,"De empresas privadas (cap. 4)","Ingresos de empresas privadas (cap. 4)",1027820
"66",2007,"De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 4)","De sociedades mercantiles estatales (cap. 4)",336570
"67",2007,"De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 4)","De entidades públicas empresariales (cap. 4)",2550108420
"69",2007,"De Comunidades Autónomas (cap. 4)","Liquidación de la regularización de los Mossos d´Esquadra (cap. 4)",415200000
"70",2007,"De Comunidades Autónomas (cap. 4)","Contribuciones Concertadas (cap. 4)",1962049830
"71",2007,"De Comunidades Autónomas (cap. 4)","Compensación a satisfacer por la Comunidad Autónoma de Canarias por la supresión del I.G.T.E. (cap. 4)",2.09e+08
"72",2007,"De Comunidades Autónomas (cap. 4)","Compensaciones financieras del País Vasco (cap. 4)",48980000
"73",2007,"De Comunidades Autónomas (cap. 4)","Otras transferencias corrientes (cap. 4)",6384570
"75",2007,"Otros impuestos indirectos","Otros impuestos indirectos",4e+06
"76",2007,"Otros impuestos indirectos","Impuesto sobre las Primas de Seguros",1.494e+09
"77",2007,"Otros impuestos indirectos","Cotización, producción y almacenamiento de azúcar e isoglucosa",2.9e+07
"78",2007,"Otros impuestos indirectos","Impuesto sobre actividades del juego",1e+06
"79",2007,"Otros impuestos indirectos","Impuesto sobre Transmisiones Patrimoniales y Actos Jurídicos Documentados",1.3e+07
"81",2007,"Reintegros de préstamos concedidos al Sector Público","Reintegros de préstamos concedidos al Sector Público a largo plazo",383428390
"82",2007,"Reintegros de préstamos concedidos al Sector Público","Reintegros de préstamos concedidos al Sector Público a corto plazo",3253290
"84",2007,"Ingresos por compensación de costes de las actividades de prevención","Ingresos por compensación de costes de las actividades de prevención",11968560
"86",2007,"Otros ingresos","Diferencias entre los valores de reembolso y emisión",6e+07
"87",2007,"Otros ingresos","Recargos, multas e intereses de demora no tributarios",1.5e+07
"88",2007,"Otros ingresos","Recargos, multas  e intereses de demora tributarios",1673235880
"89",2007,"Otros ingresos","Reintegros de cantidades abonadas a los trabajadores por cuenta de las empresas (Fondo de Garantía Salarial)",21669520
"90",2007,"Otros ingresos","Ingresos diversos",199431930
"91",2007,"Otros ingresos","Ingresos procedentes de herencias abintestato. Artículo 956 del Código Civil",136200
"93",2007,"De empresas privadas (cap. 7)","De empresas privadas (cap. 7)",1.02e+08
"95",2007,"De Entidades Locales (cap. 7)","Otras transferencias de capital (cap. 7)",43305180
"96",2007,"De Entidades Locales (cap. 7)","De Ayuntamientos (cap. 7)",26120050
"97",2007,"De Entidades Locales (cap. 7)","De Diputaciones y Cabildos Insulares (cap. 7)",1e+05
"99",2007,"De Comunidades Autónomas (cap. 7)","De Comunidades Autónomas (cap. 7)",5e+05
"100",2007,"De Comunidades Autónomas (cap. 7)","De Comunidades Autónomas (cap. 7)",8e+06
"101",2007,"De Comunidades Autónomas (cap. 7)","De Comunidades Autónomas (cap. 7)",845310
"102",2007,"De Comunidades Autónomas (cap. 7)","De Comunidades Autónomas (cap. 7)",766000
"103",2007,"De Comunidades Autónomas (cap. 7)","Cofinanciación teledetección Comunidades Autónomas (cap. 7)",2524000
"104",2007,"De Comunidades Autónomas (cap. 7)","De la Comunidad Autónoma de Canarias (cap. 7)",468180
"105",2007,"De Comunidades Autónomas (cap. 7)","De Comunidades Autónomas (cap. 7)",10326280
"106",2007,"De Comunidades Autónomas (cap. 7)","De Comunidades Autónomas (cap. 7)",5300000
"107",2007,"De Comunidades Autónomas (cap. 7)","De Comunidades Autónomas (cap. 7)",19745000
"108",2007,"De Comunidades Autónomas (cap. 7)","De Comunidades Autónomas (cap. 7)",6e+06
"110",2007,"De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 7)","Sociedades mercantiles estatales (cap. 7)",13006700
"111",2007,"De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 7)","De resto de entidades del Sector Público Estatal (cap. 7)",18000
"113",2007,"Préstamos recibidos en euros","Préstamos recibidos a largo plazo de entes de fuera del Sector Público",6.4e+07
"114",2007,"Préstamos recibidos en euros","Préstamos recibidos a corto plazo de entes de fuera del Sector Público",296651820
"116",2007,"Reintegros de operaciones corrientes","De ejercicios cerrados",382979310
"117",2007,"Reintegros de operaciones corrientes","Del presupuesto corriente",35031210
"119",2007,"Depósitos y fianzas recibidos","Depósitos recibidos",20000
"120",2007,"Depósitos y fianzas recibidos","Fianzas recibidas",150000
"122",2007,"Del exterior (cap. 7)","Otras transferencias de la Unión Europea (cap. 7)",448540
"123",2007,"Del exterior (cap. 7)","Fondo Social Europeo (cap. 7)",5e+06
"124",2007,"Del exterior (cap. 7)","Fondo Europeo Agrícola de Desarrollo Rural (FEADER) (cap. 7)",5.4e+08
"125",2007,"Del exterior (cap. 7)","Fondo Europeo de la Pesca y otros recursos agrícolas y pesqueros (cap. 7)",1.8e+08
"126",2007,"Del exterior (cap. 7)","Fondo de Cohesión (cap. 7)",369248000
"127",2007,"Del exterior (cap. 7)","Fondo Europeo de Desarrollo Regional (cap. 7)",1670631690
"129",2007,"De familias e instituciones sin fines de lucro (cap. 7)","Ayudas a la investigación (cap. 7)",1500000
"131",2007,"Sobre el capital","Otros impuestos sobre el capital",7.2e+07
"133",2007,"Sobre la renta","De no residentes",1.8e+09
"134",2007,"Sobre la renta","De las personas físicas",3.9474e+10
"135",2007,"Sobre la renta","De sociedades",4.1641e+10
"137",2007,"Cotizaciones sociales","Cotizaciones de los regímenes especiales de funcionarios",3119302580
"138",2007,"Cotizaciones sociales","Cotizaciones del Regimen General",70949220000
"139",2007,"Cotizaciones sociales","Cotizaciones del R.E.T. Autonomos",9442280000
"140",2007,"Cotizaciones sociales","Cotizaciones por mecanismo de equidad intergeneracional",1350400000
"141",2007,"Cotizaciones sociales","Cotizaciones R.E. Trabajadores del Mar",290690000
"142",2007,"Cotizaciones sociales","Cotizaciones R.E. Mineria del Carbon",203420000
"143",2007,"Cotizaciones sociales","Cotizaciones del R.E. Empleados de Hogar",548080000
"144",2007,"Cotizaciones sociales","Cotizaciones de acctes. trabajo y e. p.",7564010000
"145",2007,"Cotizaciones sociales","Cotizaciones de desempleados, cese de actividad de trabajadores autónomos y bonificaciones para el fomento del empleo",7009440000
"146",2007,"Cotizaciones sociales","Otras cotizaciones",20159220000
"148",2007,"De familias e instituciones sin fines de lucro (cap. 4)","Otras transferencias corrientes (cap. 4)",150000
"149",2007,"De familias e instituciones sin fines de lucro (cap. 4)","De familias e instituciones sin fines de lucro (cap. 4)",658730
"150",2007,"De familias e instituciones sin fines de lucro (cap. 4)","Otras transferencias corrientes. (cap. 4)",811340
"152",2007,"Venta de bienes","Venta de otros bienes",11398900
"153",2007,"Venta de bienes","Venta de material de desecho",88590
"154",2007,"Venta de bienes","Venta de productos agropecuarios",1194750
"155",2007,"Venta de bienes","Venta de impresos oficiales",402000
"156",2007,"Venta de bienes","Venta en comisión de publicaciones",84010
"157",2007,"Venta de bienes","Venta de publicaciones propias",8436770
"158",2007,"Venta de bienes","Venta de medicamentos",5000
"159",2007,"Venta de bienes","Venta de fotocopias y otros productos de reprografía",535150
"161",2007,"Otros ingresos procedentes de prestación de servicios","De la Administración financiera",523069090
"162",2007,"Otros ingresos procedentes de prestación de servicios","Comisiones por avales y seguros de operaciones financieras",676410
"163",2007,"Otros ingresos procedentes de prestación de servicios","Renta de aduanas. Derechos menores",246640
"164",2007,"Otros ingresos procedentes de prestación de servicios","De asistencia sanitaria",101595090
"165",2007,"Otros ingresos procedentes de prestación de servicios","Derechos de alojamiento, restauración y residencia.",5e+05
"166",2007,"Otros ingresos procedentes de prestación de servicios","De servicios sociales",4175200
"167",2007,"Otros ingresos procedentes de prestación de servicios","Otros ingresos procedentes de prestación de servicios",20829980
"169",2007,"Precios Públicos","Otros precios públicos",19549930
"170",2007,"Precios Públicos","Entradas a museos, exposiciones, espectáculos, etc.",21362000
"171",2007,"Precios Públicos","Derechos de matrícula en cursos y seminarios",4276380
"172",2007,"Precios Públicos","Cursos impartidos para otros Entes Públicos.",60100
"174",2007,"Del exterior (cap. 4)","De la Unión Europea-PAC (cap. 4)",18710
"175",2007,"Del exterior (cap. 4)","Del FEOGA GARANTÍA (cap. 4)",725000
"176",2007,"Del exterior (cap. 4)","Otras transferencias corrientes (cap. 4)",955280
"177",2007,"Del exterior (cap. 4)","Del Fondo Social Europeo (cap. 4)",943950640
"178",2007,"Del exterior (cap. 4)","Otras transferencias de la Unión Europea (cap. 4)",744970
"179",2007,"Del exterior (cap. 4)","Aportaciones derivadas de convenios internacionales de cooperación (cap. 4)",7273000
"180",2007,"Del exterior (cap. 4)","Del FEAGA (cap. 4)",6339611340
"181",2007,"Del exterior (cap. 4)","Del FEAGA (cap. 4)",2e+06
"183",2007,"Intereses de anticipos y préstamos concedidos","Al exterior",1.45e+08
"184",2007,"Intereses de anticipos y préstamos concedidos","A familias e instituciones sin fines de lucro",1223500
"185",2007,"Intereses de anticipos y préstamos concedidos","A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal",12291610
"186",2007,"Intereses de anticipos y préstamos concedidos","A empresas privadas",2e+06
"188",2007,"Intereses de títulos y valores","De Entidades Locales",22440
"189",2007,"Intereses de títulos y valores","De empresas privadas",14007060
"190",2007,"Intereses de títulos y valores","De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal",3124820
"191",2007,"Intereses de títulos y valores","De Comunidades Autónomas",2574690
"192",2007,"Intereses de títulos y valores","Del Estado",1860061280
"193",2007,"Intereses de títulos y valores","De organismos autónomos",484330
"195",2007,"Intereses de depósitos","Intereses de cuentas bancarias",678338480
"196",2007,"Intereses de depósitos","Intereses de otros depósitos",3029830
"198",2007,"Productos de concesiones y aprovechamientos especiales","Otras concesiones y aprovechamientos",3239140
"199",2007,"Productos de concesiones y aprovechamientos especiales","Aprovechamientos agrícolas y forestales",36000
"200",2007,"Productos de concesiones y aprovechamientos especiales","Aprovechamientos agrícolas y forestales",3918610
"201",2007,"Productos de concesiones y aprovechamientos especiales","De concesiones administrativas",22153440
"203",2007,"Rentas de bienes inmuebles","Alquiler de aulas y otras instalaciones formativas.",62750
"204",2007,"Rentas de bienes inmuebles","Alquiler y productos de inmuebles",14227070
"205",2007,"Rentas de bienes inmuebles","Otras rentas",1120000
"207",2007,"Resultados de operaciones comerciales","Resultados de operaciones comerciales",115714330
"209",2008,"Variación del fondo de maniobra","Variación del fondo de maniobra",244767520
"211",2008,"Tasas","Tasas seguridad aeroportuaria",6e+07
"212",2008,"Tasas","Otras tasas",421319740
"213",2008,"Tasas","Derechos por expedición de tarjetas de identidad profesional a trabajadores extranjeros",7.6e+07
"214",2008,"Tasas","Canon de ocupación y aprovechamiento del dominio público marítimo-terrestre",2.5e+07
"215",2008,"Tasas","Tasa por dirección e inspección de obras",181365740
"216",2008,"Tasas","Tasa por el ejercicio de la potestad jurisdiccional en los órdenes civil, contencioso-administrativo y social",5.7e+07
"217",2008,"Tasas","Tasas de expedición de D.N.I. y pasaportes",7.6e+07
"218",2008,"Tasas","Tasas consulares",3.2e+07
"219",2008,"Tasas","Canon por utilización de aguas continentales para la producción de energía eléctrica",559187200
"220",2008,"Tasas","Tasa por reserva del dominio radioeléctrico",3.41e+08
"222",2008,"Dividendos y participaciones en beneficios","De empresas privadas",684050
"223",2008,"Dividendos y participaciones en beneficios","De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal",2451105060
"225",2008,"Cotizaciones de asociados","Cotizaciones de asociados",750000
"227",2008,"Otros ingresos patrimoniales","Otros",1188510
"228",2008,"Otros ingresos patrimoniales","Otros",249290
"230",2008,"De terrenos","Venta de fincas rústicas",4550000
"231",2008,"De terrenos","Venta de solares",197200000
"233",2008,"De las demás inversiones reales","Venta de otras inversiones reales",266465230
"234",2008,"De las demás inversiones reales","Enajenación de bienes destinados a uso general",7130
"236",2008,"Reintegros por operaciones de capital","Del presupuesto corriente",1e+07
"237",2008,"Reintegros por operaciones de capital","De ejercicios cerrados",93067830
"239",2008,"Reintegros de préstamos concedidos fuera del Sector Público","Reintegros de préstamos concedidos fuera del Sector Público a corto plazo",16637970
"240",2008,"Reintegros de préstamos concedidos fuera del Sector Público","Reintegros de préstamos concedidos fuera del Sector Público a largo plazo",2323493370
"242",2008,"Enajenación de deuda del Sector Público","Enajenación de deuda del Sector Público a largo plazo",271279160
"243",2008,"Enajenación de deuda del Sector Público","Enajenación de deuda del Sector Público a corto plazo",7622310
"245",2008,"Enajenación de obligaciones y bonos de fuera del Sector Público","Enajenación de obligaciones y bonos de fuera del Sector Público a corto plazo",190310
"246",2008,"Enajenación de obligaciones y bonos de fuera del Sector Público","Enajenación de obligaciones y bonos de fuera del Sector Público a largo plazo",1889330
"248",2008,"Enajenación de acciones y part. de fuera del Sector Público","De empresas nacionales o de la Unión Europea",253380
"250",2008,"Remanente de tesorería","Remanente para la cobertura de prestaciones sociales de Accidentes de Trabajo",10751440
"251",2008,"Remanente de tesorería","Remanente de tesorería",3821526380
"253",2008,"Devolución de depósitos y fianzas","Devolución de fianzas",5643260
