"","Año","Acceso a la vivienda y fomento de la edificación","Administración financiera y tributaria","Agricultura, pesca y alimentación","Alta dirección","Comercio, turismo y PYMES","Cultura","Defensa","Desempleo","Deuda pública","Educación","Fomento del empleo","Gestión y administración de la Seguridad Social","Industria y energía","Infraestructuras","Investigación, desarrollo e innovación","Justicia","Otras actuaciones de carácter económico","Otras prestaciones económicas","Pensiones","Política exterior","Sanidad","Seguridad ciudadana e instituciones penitenciarias","Servicios de carácter general","Servicios sociales y promoción social","Subvenciones al transporte","Transferencias a otras admones. públicas","Gestión y administración de Trabajo y Economía Social"
"1",2007,1247537930,1557742500,8448219790,714682490,676553160,1122240650,7693334600,14470155790,1.5925e+10,2435351940,7286557390,2150694090,1801849090,9889329650,3783057370,1450535590,430822750,12271211210,91455543500,1562590860,4199726150,8136636060,6977742510,1831329130,1685138930,60993306390,0
"2",2008,1357064140,1626393290,8903526860,768529190,640308660,1214614040,8146246170,15776571810,1.6609e+10,2782496490,7683435090,2288565700,1873134870,10291680270,4238253550,1563065900,460980570,13324422450,98008926140,1796076270,4433236140,8834178450,7185327520,2076672050,1816997020,65849626470,0
"3",2009,1594599540,1596178980,8767104390,763145090,697575310,1256288680,7843716210,19615441010,1.74e+10,2833571540,7583762640,2357763880,1878407850,10653890410,4175553350,1657523650,426653680,14077755650,106095571150,1798257100,4622327820,8647323680,7422883390,2489767050,1744318410,66414577660,0
"4",2010,1492046740,1499241500,8866136060,817448550,667436250,1170826350,7353909550,30974331430,2.32e+10,2912969080,7750268490,2386640470,2145047260,10320139880,3571879840,1817826730,405556390,13988146130,108279523540,1792462420,4634007760,8870911260,7838620630,2718181510,1186167340,73598570600,0
"5",2011,1216104180,1409369020,8557827040,678812340,565675300,1075893180,6865067680,30473554630,2.74e+10,2664309170,7328812820,2183632210,1878899810,6665727260,3389854180,1712389620,385525460,13575828320,112212567040,1652260180,4254535230,8400293490,6545693510,2502736110,1018724760,42811178510,0
"6",2012,817912290,1426801380,8442642040,632623320,400255360,914611180,6266185820,28804314820,2.8848e+10,2115344640,5764687280,2071393950,1130376060,5886732720,2632631320,1611888820,309479810,12012742890,115822933590,1380143320,3975001690,8353438500,5871683850,2112696690,1616801030,49686069350,0
"7",2013,765875880,1312535240,7649875660,595033600,338099270,705015130,5782886510,26992957960,38589550000,1893590630,3771454860,2003931740,3850728510,5172527670,2266376110,1542160590,675547770,11879719810,121553511110,1244795680,3855148270,7902014630,5838885810,2838723190,1180030350,48316649440,0
"8",2014,799624080,1549538830,7709383020,593182540,334352210,700974500,5651360030,29726796270,3.659e+10,2123733980,4073465100,1997377840,5032375980,4809908290,2412917100,1500067340,941589500,11603294160,127480833350,1144705690,3839133110,7879498080,6190780820,1802136580,1615155350,45988789430,0
"9",2015,587109090,1527070130,8579753510,612220620,346457500,732360990,5708625860,25299302460,3.549e+10,2181601750,4746305410,1956589200,5269416510,4969948420,2405663740,1507467750,927193790,10943116470,131655531370,1171917730,3863178140,7841601660,6746879640,1934566700,1340469260,47165889600,0
"10",2016,587109090,1462399340,7388115540,632968000,360774450,790062820,5731230350,19620200900,3.349e+10,2253202760,5214859940,1875319480,4698674010,5011832610,2675301120,1603625090,665052880,11685172770,135445925790,1227428450,3999451810,7902085920,7637893610,2285201870,1424067760,48816042450,0
"11",2017,474242030,1363616110,7397363530,651812030,330665920,789195510,7572531310,18317574650,3.2171e+10,2291449870,5499198750,1837933060,4620977570,4894210060,2612107770,1725512230,555256910,13511361790,139643723080,1307182100,4092811990,7910798810,6832367400,2397272620,1421025890,48222511070,0
"12",2018,481242380,1388782880,7476042020,680864710,351481620,842755620,8397499980,17701442620,31547483770,2349538400,5716087350,1886120080,4627594500,4778971280,2844353900,1780065710,639175230,14387829510,144831305660,1366922100,4252586020,8416545030,6931040890,2619917540,2148762090,49510401920,0
"13",2019,481242380,1388782880,7476042020,680864710,351481620,842755620,8397499980,17701442620,31547483770,2349538400,5716087350,1886120080,4627594500,4778971280,2844353900,1780065710,639175230,14387829510,144831305660,1366922100,4252586020,8416545030,6931040890,2619917540,2148762090,49510401920,0
"14",2020,481242380,1388782880,7476042020,680864710,351481620,842755620,8397499980,17701442620,31547483770,2349538400,5716087350,1886120080,4627594500,4778971280,2844353900,1780065710,639175230,14387829510,144831305660,1366922100,4252586020,8416545030,6931040890,2619917540,2148762090,49510401920,0
"15",2021,2152735380,1563341710,8379804700,751474590,1616989950,1134481370,9069020750,25011161390,31675104090,4661228520,7404649930,1930273120,10276143500,9825823750,7855868120,2047452160,1067561180,20622367250,163293580730,1667081300,7329060820,9693421590,9205145280,5197492040,2618291540,70342163710,104085470
"16",2022,3179835060,1610639430,8832976710,788518660,2305300720,1575749730,9787817930,22456462020,30175104090,4590556270,7647768240,2085581310,9085716070,10550500640,8818681930,2282905700,1392843800,20973947430,171136653310,2038563420,6605426980,10147809150,9175591090,6176100170,2720595490,70727918050,142874810
"17",2023,2116835650,1752739740,8511340860,932674510,1669306400,1790724860,12313865490,21277384680,31275104090,4922745740,8028626590,2259255210,9002384560,10869598590,10449244870,2290664780,1448441470,22299229990,190684246150,2190349640,7048459800,10718220830,9657929040,7113834680,3447680300,66457250490,193403510
