"","Año","Cotizaciones de asociados","Cotizaciones sociales","De Comunidades Autónomas (cap. 4)","De Comunidades Autónomas (cap. 7)","De empresas privadas (cap. 4)","De empresas privadas (cap. 7)","De Entidades Locales (cap. 4)","De Entidades Locales (cap. 7)","De familias e instituciones sin fines de lucro (cap. 4)","De familias e instituciones sin fines de lucro (cap. 7)","De las demás inversiones reales","De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 4)","De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 7)","De terrenos","Del exterior (cap. 4)","Del exterior (cap. 7)","Depósitos y fianzas recibidos","Devolución de depósitos y fianzas","Dividendos y participaciones en beneficios","Enajenación de acciones y part. de fuera del Sector Público","Enajenación de deuda del Sector Público","Enajenación de obligaciones y bonos de fuera del Sector Público","Ingresos por compensación de costes de las actividades de prevención","Intereses de anticipos y préstamos concedidos","Intereses de depósitos","Intereses de títulos y valores","Otros impuestos indirectos","Otros ingresos","Otros ingresos patrimoniales","Otros ingresos procedentes de prestación de servicios","Precios Públicos","Préstamos recibidos en euros","Productos de concesiones y aprovechamientos especiales","Reintegros de operaciones corrientes","Reintegros de préstamos concedidos al Sector Público","Reintegros de préstamos concedidos fuera del Sector Público","Reintegros por operaciones de capital","Remanente de tesorería","Rentas de bienes inmuebles","Resultados de operaciones comerciales","Sobre consumos específicos","Sobre el capital","Sobre el Valor Añadido","Sobre la renta","Sobre tráfico exterior","Tasas","Variación del fondo de maniobra","Venta de bienes","Otros impuestos directos","Sobre la producción y almacenamiento de energía eléctrica y combustible","Utilización de activos financieros afectos al Fondo de Reserva de la Seguridad Social y a otros Fondos del Sistema","Enajenación de acciones y participaciones y devolución de aportaciones del Sector Público","Devolución de aportaciones patrimoniales"
"1",2007,907000,120636062580,2641614400,54474770,52503330,1.02e+08,717300,69525230,1620070,1500000,271688740,2550444990,13024700,1.89e+08,7295278940,2765328230,170000,9239490,1303741550,256380,482905990,1421990,11968560,160515110,681368310,1880274620,1.541e+09,1969473530,2214020,651092410,45248410,360651820,29347190,418010520,386681680,636313770,92130600,2617356640,15409820,115714330,1.0961e+10,7.2e+07,3.6538e+10,8.2915e+10,1.7e+09,1649561230,175448900,22145170,0,0,0,0,0
"2",2008,750000,130280085970,2846077380,59246660,50850950,107610600,738820,67290810,3281390,1500000,266472360,2619193660,14424450,201750000,7133136910,3820857740,170000,8269610,2451789110,253380,278901470,2079640,14813510,127714170,999520980,1779744850,1.601e+09,1967048520,1437800,669671010,42080920,389985320,30548900,538367030,483144470,2340131340,103067830,3832277820,21912070,168722920,1.1661e+10,8.4e+07,3.8205e+10,8.9681e+10,1.896e+09,1828872680,244767520,21593590,1e+06,0,0,0,0
"3",2009,7e+05,140197842530,2789124920,53882130,46380960,105600000,775760,44864820,3806510,1500000,147322100,2642942380,22868240,114750000,6724783000,2458255660,170000,17138370,2289760060,6000,502884800,6512570,3888850,136070010,1123678560,2510129640,1.681e+09,3035362630,4328340,760658900,42166930,365497820,31648180,617319310,541208000,1828057110,105473910,3602468230,30557680,215593370,1.1253e+10,5.6e+07,3.5531e+10,7.5927e+10,1.737e+09,2080357900,380308020,29227240,0,0,0,0,0
"4",2010,650000,132741385650,2526357500,37655940,68150330,88271240,799020,65651400,4819780,1500000,125401510,2593202550,17271210,114300000,6826268310,3522748560,170000,11955650,2067794550,6000,587175980,2170470010,1422430,137988790,676798740,3177006620,1.39e+09,3146354590,4243540,663557120,36459480,351026380,31414990,664555640,449035530,658544440,95558900,2381632980,27727480,231333550,1.1964e+10,6.9e+07,2.6111e+10,6.5215e+10,1.271e+09,1628722780,372287460,27164410,0,0,0,0,0
"5",2011,728000,135611496930,4011810070,31875980,77481220,74494550,303636810,62675800,4785780,1500000,76079640,23503190,8074800,115520000,6775247700,2009604060,170000,6139580,4927850200,1000,736225010,11239079440,303360,125869710,197667050,4098190700,1.53e+09,3719653040,1270790,679733160,36492520,203310550,22485290,771741390,1234268000,960208340,91667660,2277419860,48778660,215173350,8.179e+09,7.4e+07,2.4968e+10,5.4042e+10,1.465e+09,1497773830,0,28784230,0,0,0,0,0
"6",2012,6e+05,130458647930,30621390450,36283950,86883220,70592550,1056802390,34195850,4757580,1500000,82915070,19122740,2289070,72520000,6733323690,1951457350,170000,5857750,3938626430,0,668245350,6191168430,25890,113470600,413426950,3232479290,1.508e+09,4543226940,999130,1633482890,77038460,299260000,844107520,844126140,3108369330,1026093660,132487520,1574413950,47210080,240706100,4.502e+09,1.2e+08,1.3633e+10,5.3689e+10,1.452e+09,1597112300,0,20488390,0,0,0,0,0
"7",2013,5e+05,128856249400,7629478630,42529240,88314210,68525790,1056572390,24657710,4245780,0,50001910,30761120,721210,51010000,6750928070,1709360960,170000,10873670,4141290270,0,754467260,136442280,25960,1180402570,338304820,2696667930,1506100000,4395615830,929130,616496950,77465180,241204000,318797680,895538250,530260000,1020146100,132551680,1501503490,44940210,275849130,9578153650,132800000,28272300000,63511300000,1377900000,1686150380,0,20096260,0,1542720000,1391604640,0,0
"8",2014,450000,125039962820,9122547330,29464470,73114870,71225430,595932910,42258000,4378730,10968000,245038910,19381570,521210,60260000,6216528180,2174505930,170000,6793030,3782718880,17750,799335860,91087700,0,2768587790,336252420,2473778920,1444368000,3580001440,70104680,606240300,216660950,260798080,400594670,742444000,452360340,1343923000,165642890,1705094190,44528010,0,7762900000,376400000,27122400000,65292500000,1357896000,1919532610,0,19870850,0,1960160000,11029677810,1e+08,0
"9",2015,4e+05,132826922070,9457872520,24982770,54896260,65344000,334443340,23142730,4981730,9976370,69947360,16946240,5e+05,110020000,6487509580,2801778410,170000,6140730,3639521000,0,502659360,74903740,0,2231188110,195265590,2124853930,2.135e+09,3478929990,69263990,642677260,229861300,255613090,386494830,702553920,724112500,1420630730,114289890,1809407460,42934570,0,8.092e+09,1.64e+08,3.2529e+10,6.5322e+10,1.4e+09,1974397540,0,20247980,0,1.958e+09,8446717680,100613150,5491922000
"10",2016,430000,141399899380,7240865320,16156090,36891260,81016650,427313340,26378290,4775730,10893680,49993400,21250250,5e+05,215003000,6460668440,2486011800,170000,6258450,4198119170,0,530191670,19400000,0,361524490,136098830,1616446160,2.312e+09,6356776460,68291460,681907880,204632290,152395090,518442230,797986740,1226976000,1577351800,98577890,1755770620,42169270,0,7.923e+09,1.51e+08,3.1334e+10,6.6466e+10,1.907e+09,2093172070,0,23256990,0,1.864e+09,6283334710,613150,0
